model,language_code,language,final_rank,voice_id,voice_name,Notice Period,Multiplier
eleven_v3,cmn,Mandarin Chinese,1,9lHjugDhwqoxA5MhX0az,"Anna Su - Casual, Friendly and Bright",730,
eleven_v3,cmn,Mandarin Chinese,2,DowyQ68vDpgFYdWVGjc3,"Jason Chen - Deep, Magnetic and Calm",730,
eleven_v3,cmn,Mandarin Chinese,3,ByhETIclHirOlWnWKhHc,Shan Shan - Young Energetic Female,90,
eleven_v3,cmn,Mandarin Chinese,4,4VZIsMPtgggwNg7OXbPY,"James Gao - Calm, Friendly and Warm",730,
eleven_v3,cmn,Mandarin Chinese,5,BrbEfHMQu0fyclQR7lfh,"Kevin Tu - Natural, Steady and Calm",365,
eleven_v3,cmn,Mandarin Chinese,6,hZTuv9Zqrq4yHYrEmF1r,"Adam Li -  Deep, Steady and Calm",730,
eleven_v3,cmn,Mandarin Chinese,7,fQj4gJSexpu8RDE2Ii5m,"Yu - Youthful, Energetic and Engaging",730,
eleven_v3,cmn,Mandarin Chinese,8,MI36FIkp9wRP7cpWKPTl,"Evan Zhao - Warm, Calm and Trustworthy",730,
eleven_v3,cmn,Mandarin Chinese,9,WuLq5z7nEcrhppO0ZQJw,"Martin Li - Raspy, Serious and Deep",730,
eleven_v3,cmn,Mandarin Chinese,10,hkfHEbBvdQFNX4uWHqRF,"Stacy - Young, Sweet and Cute",730,
eleven_v3,dan,Danish,1,EU14UTtflRFtOAuWCuVe,Teddy Andersen - Clear and Calm,730,
eleven_v3,dan,Danish,2,qhEux886xDKbOdF7jkFP,"Peter - Natural, Crisp and Clear",730,
eleven_v3,dan,Danish,3,V34B5u5UbLdNJVEkcgXp,Noam - Enganging and Clear,,
eleven_v3,dan,Danish,4,Hp07ONf6C5qlCKOeB4oo,Constantin Birkedal -  Calm and Soothing,90,
eleven_v3,dan,Danish,5,ygiXC2Oa1BiHksD3WkJZ,"Mathias - Engaging, Natural and Warm",730,
eleven_v3,dan,Danish,6,xj6X4BCUsv9oxohm1E8o,"Søren - Clear, Confident and Versatile",730,
eleven_v3,dan,Danish,7,6SjhOkgKPuHxm8q0eIyp,Christian - Calm and Engaging,365, $0.01
eleven_v3,dan,Danish,8,BIWC0507fYMfhPcAEIRP,"Mads - Clear, Direct and Natural",730,
eleven_v3,dan,Danish,9,4RklGmuxoAskAbGXplXN,"Camilla - Engaging, Clear and Calm",730,
eleven_v3,dan,Danish,10,C43bq5qXRueL1cBQEOt3,Thomas Hansen - Warm and Deep,90,
eleven_v3,deu,German,1,bAFkvitDGeDMmqo9gJzO,Niander Wallace,730,
eleven_v3,deu,German,2,FTNCalFNG5bRnkkaP5Ug,Otto - Casual and Normal,730,
eleven_v3,deu,German,3,7eVMgwCnXydb3CikjV7a,Lea - Clear and Feminine,730,
eleven_v3,deu,German,4,ViKqgJNeCiWZlYgHiAOO,"Annika - Calm, Confident and Pleasant",730,
eleven_v3,deu,German,5,aTTiK3YzK3dXETpuDE2h,Ben - Effortless and Casual,730,
eleven_v3,deu,German,6,v3V1d2rk6528UrLKRuy8,Susi - Effortless and Confident,730,
eleven_v3,deu,German,7,K75lPKuh15SyVhQC1LrE,Carola - Sharp and Clear,30,
eleven_v3,deu,German,8,Em6LomliZyRFu3w09pjD,"Isabell - Youthful, Soft and Kind",730, $0.10
eleven_v3,deu,German,9,AnvlJBAqSLDzEevYr9Ap,"Ava - Youthful, Authentic and Friendly",730,
eleven_v3,deu,German,10,z0gdR3nhVl1Ig2kiEigL,Luisa - Confident and Patient,730,
eleven_v3,ell,Greek,1,7smwXrU3C1PfaspIIUZB,"Sophia - Assertive, Joyful and Warm",730,
eleven_v3,ell,Greek,2,5DAtyqt3LGjv9jkjNVFd,"Eugene - Expressove, Calm and Brisk",365,
eleven_v3,ell,Greek,3,0oYUKTNPbymIKVAkDQqh,Sofia,180,
eleven_v3,ell,Greek,4,n0vzWypeCK1NlWPVwhOc,"Theos - Narrational, Assertive and Warm",730,
eleven_v3,ell,Greek,5,cuab90umcstNgL8U7orz,"Fatsis - Narrational, Warm and Crisp",730, $0.07
eleven_v3,ell,Greek,6,aTP4J5SJLQl74WTSRXKW,"Eleni - Soft, Narrational and Calm",30,
eleven_v3,ell,Greek,7,20zUtLxCwVzsFDWub4sB,"Stefanos - Calm, Narrational and Soft",30,
eleven_v3,ell,Greek,8,6z1Ks05MOtac6wYNh9PJ,"Kyriakos - Soft, Narrational and Calm",730,
eleven_v3,ell,Greek,9,TN3alZndDSA8GYZSOf3r,"Georgios - Casual, Calm and Reassuring",730,
eleven_v3,ell,Greek,10,PaZ8laODC1yRxHTPYJFh,"Christos - Casual, Calm and Serious",180,
eleven_v3,eng,English,1,ZF6FPAbjXT4488VcRRnw,Amelia - Enthusiastic and Expressive,730,
eleven_v3,eng,English,2,Se2Vw1WbHmGbBbyWTuu4,Allison - Inviting and Velvety,730,
eleven_v3,eng,English,3,tnSpp4vdxKPjI9w0GnoV,Hope - upbeat and clear,730,
eleven_v3,eng,English,4,kPzsL2i3teMYv0FxEYQ6,"Brittney - Social Media Voice - Fun, Youthful & Informative",180,
eleven_v3,eng,English,5,UgBBYS2sOqTuMpoF3BR0,Mark - Natural Conversations,730,
eleven_v3,eng,English,6,OYTbf65OHHFELVut7v2H,"Hope - Natural, Clear and Calm",730,
eleven_v3,eng,English,7,1SM7GgM6IMuvQlz2BwM3,"Mark - Casual, Relaxed and Light",730,
eleven_v3,eng,English,8,jqcCZkN6Knx8BJ5TBdYR,"Zara – The Warm, Real-World Conversationalist",730,
eleven_v3,eng,English,9,G17SuINrv2H9FC6nvetn,Christopher - Gentle and Trustworthy,730,
eleven_v3,eng,English,10,6OzrBCQf8cjERkYgzSg8,Young Jamal,730,
eleven_v3,fil,Filipino,1,mOYuoC0AAGM3erLKflvc,Nanay Pilar - Engaging Host and Narrator,730, $0.20
eleven_v3,fil,Filipino,2,npRgfJVBXuwAB3NbZayl,"Askeladd - Deep, Natural, and Clear",730,
eleven_v3,fil,Filipino,3,x67weArB3J1Pw9MN46KC,Ate Namie - Captivating Narrator,730, $0.20
eleven_v3,fil,Filipino,4,jN7Z0yN1A1cDJRBH2ZZF,"Pedro - Calm, Laidback, and Clear",,
eleven_v3,fil,Filipino,5,RnW8EXHv9GqGMgyP0sXG,Ate Lyn - Captivating Voiceover Queen,730,
eleven_v3,fil,Filipino,6,DxICOrDlizHfox9uSCDm,Kuya Pedro Penduko - Gentle Storyteller,730,
eleven_v3,fil,Filipino,7,MUVOVB3VWCo7pumU3SIO,Kuya Manny - Soothing Narrator,730,
eleven_v3,fil,Filipino,8,RKj1DIXprh8zdvjllfhJ,Tiya Maria - Horror Storyteller,730,
eleven_v3,fil,Filipino,9,OkDfD8rwvBeYcTxaYXYj,Mark - Horror Storyteller,730,
eleven_v3,fil,Filipino,10,XsTUAQbH1gw34ugPMuYV,Dok Jim - Natural Storyteller,730,
eleven_v3,fin,Finnish,1,Gp43kq9FsSlavD7esRtx,Vaino - Peaceful & Soulful,,
eleven_v3,fin,Finnish,2,3OArekHEkHv5XvmZirVD,Christoffer Weiss - Hopeful and Steady,90,
eleven_v3,fin,Finnish,3,RiWFFlzYFZuu4lPMig3i,Soili - Neutral and Light,180,
eleven_v3,fin,Finnish,4,paqSK057kuKFy1kq3bdZ,Martti - Calm & relaxed,180,
eleven_v3,fin,Finnish,5,JMfkzZiSsox62UXcXUqM,"Jaakko - Calm, Reflective and Soft",365,
eleven_v3,fin,Finnish,6,YSabzCJMvEHDduIDMdwV,"Aurora - Cheerful, Optimistic and Round",,
eleven_v3,fin,Finnish,7,Dkbbg7k9Ir9TNzn5GYLp,Henry Aflecht - Professional and Rich,#N/A,#N/A
eleven_v3,fin,Finnish,8,dlbXHgJnwobU5JdZ8F5M,Jussi - Strong and Silly,730,
eleven_v3,fin,Finnish,9,GdUwr3tVJwSb22ROvLCr,Jukka Uusitalo - Stoic and Steady,,
eleven_v3,fin,Finnish,10,fC33e0BIKA7wWK2MeARj,Miika - Diplomatic and Steady,180,
eleven_v3,fra,French,1,6vTyAgAT8PncODBcLjRf,"Claire - Warm, Pretty and Charming",730, $0.20
eleven_v3,fra,French,2,x10MLxaAmShMYt7vs7pl,Maevys - Audiobook Narrator,730, $0.05
eleven_v3,fra,French,3,NyxenPOqNyllHIzSoPbJ,Theo - Warm and Young,730, $0.20
eleven_v3,fra,French,4,glDtoWIoIgk38YbycCwG,Clara Dupont - Professional and Urgent,730,
eleven_v3,fra,French,5,FvmvwvObRqIHojkEGh5N,"Adina - Young, Welcoming and Joyful",730,
eleven_v3,fra,French,6,txtf1EDouKke753vN8SL,Jeanne - Narrator,730,
eleven_v3,fra,French,7,aQROLel5sQbj1vuIVi6B,Nicolas - Narrator,730,
eleven_v3,fra,French,8,AmMsHJaCw4BtwV3KoUXF,Nicolas Petit - Convincing and Bright,730,
eleven_v3,fra,French,9,McVZB9hVxVSk3Equu8EH,Audrey - Energetic Commercial,730,
eleven_v3,fra,French,10,imRmmzTqlLHt9Do1HufF,"Hélène - Neutral, Controled and Old",,
eleven_v3,hin,Hindi,1,KYiVPerWcenyBTIvWbfY,"Sia - Friendly, Helpful and Reassuring",730,
eleven_v3,hin,Hindi,2,2bNrEsM0omyhLiEyOwqY,Monika Sogam - Friendly and Reassuring,730,
eleven_v3,hin,Hindi,3,zT03pEAEi0VHKciJODfn,"Raju - Clear, Natural and Warm",730,
eleven_v3,hin,Hindi,4,gHu9GtaHOXcSqFTK06ux,"Anjali - Warm, Cheerful and Clear",730,
eleven_v3,hin,Hindi,5,6V9kz8WiEZCuxIP4zw8F,"Vidya - Serious, Steady and Urgent",730,
eleven_v3,hin,Hindi,6,FZkK3TvQ0pjyDmT8fzIW,"Bunty - Punchy, Crisp and Reel King",730,
eleven_v3,hin,Hindi,7,9w21nMuk8CWXIME31V1S,"Simran - Young, Friendly and calm",730,
eleven_v3,hin,Hindi,8,kiaJRdXJzloFWi6AtFBf,Tarini - Calm and Measured,730,
eleven_v3,hin,Hindi,9,7w5JDCUNbeKrn4ySFgfu,"Nikita - Calm, Smooth and Diplomatic",730,
eleven_v3,hin,Hindi,10,OtEfb2LVzIE45wdYe54M,"Zara - Soft, Professional and Gentle",730,
eleven_v3,hrv,Croatian,1,F2kYsMGahtg8auErVXgY,"Dylan - Profesional, Warm",730,
eleven_v3,hrv,Croatian,2,FXFcxnjikw0naYO1PPrU,"Adnan - Energetic, Educational",365,
eleven_v3,hrv,Croatian,3,0jvpZ98RZwx5FBOSZAc3,"Maja - Engaging, Narrative",90,
eleven_v3,hrv,Croatian,4,adxhr4Ei7ASJ3Cz7fxwX,"Slobodan - Persuasive, Narrative",730,
eleven_v3,hrv,Croatian,5,O9XgmQnaZveORWl6mTHm,"Tomislav - Calm, Clear and Narrative",730,
eleven_v3,hrv,Croatian,6,vFQACl5nAIV0owAavYxE,"Ivan - Informative, Educational",180,
eleven_v3,hrv,Croatian,7,ZLYZToA7aDsMbHwM9AOr,"Luka - Calm, Narrative",730,
eleven_v3,hrv,Croatian,8,TRnNlYQWHAJwo9K75wNE,"Fran - Calm, Narrative",730,
eleven_v3,hrv,Croatian,9,VB7D8zswiztJjyl8LI3a,Balkanika - Expressive Universal Slavic Narrator,730, $0.20
eleven_v3,hrv,Croatian,10,kpx2bGcCm6NK1UJ5jxMH,"Davor - Conversational, Casual",,
eleven_v3,hun,Hungarian,1,TumdjBNWanlT3ysvclWh,"Peter - Youthful, Casual and Easygoing",730,
eleven_v3,hun,Hungarian,2,WYg5oajoUHxVa6ikQXec,"Freddy - Natural, Calm and Deep",730,
eleven_v3,hun,Hungarian,3,vPyfZcTRVuFmWwDgQRSd,"Nolen - Calm, Clear and Confident",730,
eleven_v3,hun,Hungarian,4,7B7mSWflzRSaO1yGeJH6,"Gábor - Warm, Natural and Confident",180,
eleven_v3,hun,Hungarian,5,3DRcczmb3qwp5aVD9M9E,"Attila - Calm, Young and Casual",730,
eleven_v3,hun,Hungarian,6,M336tBVZHWWiWb4R54ui,"David - Deep, Soothing and Sincere",730,
eleven_v3,hun,Hungarian,7,yyPLNYHg3CvjlSdSOdLh,"Balázs - Energetic, Clear and Personable",730, $0.20
eleven_v3,hun,Hungarian,8,FkINb4v84xQZDEO0VPcl,"Dávid - Deep, Natural and Amiable",730,
eleven_v3,hun,Hungarian,9,polm59PrdXp5lKpce2EG,"Dávid - Rich, Clear and Engaging",730,
eleven_v3,hun,Hungarian,10,xjlfQQ3ynqiEyRpArrT8,"Vera - Young, Energetic and Expressive",730,
eleven_v3,ind,Indonesian,1,q8qwd1jY2jS3AWOBeq25,"Pratama - Clear, Confident and Warm",730,
eleven_v3,ind,Indonesian,2,plgKUYgnlZ1DCNh54DwJ,"Dakocan - Expressive, Cheerful and Clear",730,
eleven_v3,ind,Indonesian,3,I7sakys8pBZ1Z5f0UhT9,Putri Maharani - Neutral and WItty,730,
eleven_v3,ind,Indonesian,4,iWydkXKoiVtvdn4vLKp9,"Cahaya - Youthful, Clear and Engaging",730,
eleven_v3,ind,Indonesian,5,v70fYBHUOrHA3AKIBjPq,"Mahaputra - Neutral, Calm and Gravelly",730,
eleven_v3,ind,Indonesian,6,TMvmhlKUioQA4U7LOoko,"Andi - Clear, Friendly and Calm",180,
eleven_v3,ind,Indonesian,7,lFjzhZHq0NwTRiu2GQxy,Tri Nugraha - Friendly and Inviting,,
eleven_v3,ind,Indonesian,8,1k39YpzqXZn52BgyLyGO,"Bian - Neutral, Calm and Clear",730,
eleven_v3,ind,Indonesian,9,X8n8hOy3e8VLQnHTUcc5,"Bram - Warm, Expressive and Welcoming",730,
eleven_v3,ind,Indonesian,10,RWiGLY9uXI70QL540WNd,"Putra - Smooth, Clear and Engaging",730,
eleven_v3,ita,Italian,1,fQmr8dTaOQq116mo2X7F,"Samanta - Reassuring, Warm and Deep",730,
eleven_v3,ita,Italian,2,13Cuh3NuYvWOVQtLbRN8,"Marco - Deep, Rich and Reflective",730,
eleven_v3,ita,Italian,3,gfKKsLN1k0oYYN9n2dXX,"Violetta - Ringing, Bright and Joyful",730,
eleven_v3,ita,Italian,4,fzDFBB4mgvMlL36gPXcz,Giovanni Rossi - Deep and Sympathetic,730,
eleven_v3,ita,Italian,5,W71zT1VwIFFx3mMGH2uZ,"MarcoTrox - Warm, Balanced and Polished",730,
eleven_v3,ita,Italian,6,uScy1bXtKz8vPzfdFsFw,Antonio Farina - Expressive and Warm,730,
eleven_v3,ita,Italian,7,HuK8QKF35exsCh2e7fLT,Carmelo La Rosa - Deep and Balanced,730,
eleven_v3,ita,Italian,8,Ha21jUwaMwdgQvqNslSM,"Fabi - Involving, Rich and Controlled",90,
eleven_v3,ita,Italian,9,BZc8d1MPTdZkyGbE9Sin,"Luna - Natural, Measured and Confident",90, $0.20
eleven_v3,ita,Italian,10,DLMxnwJE0a28JQLTMJPJ,"Andy - Warm, Nuanced and Mature",730,
eleven_v3,jpn,Japanese,1,3JDquces8E8bkmvbh6Bc,"Otani - Inviting, Clear and Measured",730,
eleven_v3,jpn,Japanese,2,j210dv0vWm7fCknyQpbA,"Hinata - Inviting, Smooth and Measured",730,
eleven_v3,jpn,Japanese,3,sRYzP8TwEiiqAWebdYPJ,"Hatake Kohei - Warm, Smooth and Husky",180,
eleven_v3,jpn,Japanese,4,GxxMAMfQkDlnqjpzjLHH,"Kozy - Inviting, Measured and Guttural",730,
eleven_v3,jpn,Japanese,5,Mv8AjrYZCBkdsmDHNwcB,"Ishibashi - Inviting, Natural and Smoky",730,
eleven_v3,jpn,Japanese,6,4lOQ7A2l7HPuG7UIHiKA,"Kyoko - Warm, Clear and Natural",730,
eleven_v3,jpn,Japanese,7,RBnMinrYKeccY3vaUxlZ,Sakura - Narrational,730, $0.20
eleven_v3,jpn,Japanese,8,B8gJV1IhpuegLxdpXFOE,"Kuon - Cheerful, Clear and Steady",730,
eleven_v3,jpn,Japanese,9,8EkOjt4xTPGMclNlh1pk,"Morioki - Calm, Measured and Muffled",730,
eleven_v3,jpn,Japanese,10,WQz3clzUdMqvBf0jswZQ,Shizuka - Natural and Soft,730,
eleven_v3,kor,Korean,1,z6Kj0hecH20CdetSElRT,Jennie - Narrational,,
eleven_v3,kor,Korean,2,PDoCXqBQFGsvfO0hNkEs,Chris - Warm and Clear,730,
eleven_v3,kor,Korean,3,AW5wrnG1jVizOYY7R1Oo,Jiyoung - Warm and Clear,365,
eleven_v3,kor,Korean,4,jB1Cifc2UQbq1gR3wnb0,Bin - Measured and Serious,730,
eleven_v3,kor,Korean,5,ksaI0TCD9BstzEzlxj4q,"Seulki - Inviting, Calm and Measured",730,
eleven_v3,kor,Korean,6,1W00IGEmNmwmsDeYy7ag,"Krys - Cheerful, Clear and Measured",730,
eleven_v3,kor,Korean,7,uyVNoMrnUku1dZyVEXwD,"Anna Kim - Tender, Calm and Clear",730,
eleven_v3,kor,Korean,8,ZJCNdZEjYwkOElxugmW2,Hyuk - Cold and Clear,730,
eleven_v3,kor,Korean,9,m3gJBS8OofDJfycyA2Ip,"Taehyung - Natural, Friendly and Clear",730,
eleven_v3,kor,Korean,10,4JJwo477JUAx3HV0T7n7,"Yohan Koo - Encouraging, Clear and Airy",730,
eleven_v3,msa,Malay,1,15Y62ZlO8it2f5wduybx,"Shazrina - Calm, Soothing and Gentle",730,
eleven_v3,msa,Malay,2,BeIxObt4dYBRJLYoe1hU,"Athira - Personal, Warm and Encouraging",730,
eleven_v3,msa,Malay,3,UcqZLa941Kkt8ZhEEybf,"Afifah - Friendly, Tender and Calm",730, $0.20
eleven_v3,msa,Malay,4,C1gMsiiE7sXAt59fmvYg,"Hasnan - Stoic, Smooth and Clear",180,
eleven_v3,msa,Malay,5,qAJVXEQ6QgjOQ25KuoU8,"Aisyah - Expressive, Engaging and Clear",730,
eleven_v3,msa,Malay,6,NHFTLozDZneDWyQjRGAO,"Ashraf - Smooth, Casual and Expressive",730,
eleven_v3,msa,Malay,7,lvNyQwaZPcGFiNUWWiVa,"Johari - Warm, Clear and Friendly",730,
eleven_v3,msa,Malay,8,SrWU271vZiNf2mrBhzL5,"Zain - Deep, Reassuring and Warm",730,
eleven_v3,msa,Malay,9,NpVSXJvYSdIbjOaMbShj,Jawid Iqbal Anwar - News Anchor,730,
eleven_v3,msa,Malay,10,Wc6X61hTD7yucJMheuLN,"Faizal - Calm, Clear and Inviting",730,
eleven_v3,nld,Dutch,1,UNBIyLbtFB9k7FKW8wJv,Serge de Beer - Professional Narrator,730,
eleven_v3,nld,Dutch,2,dLPO5AsXc3FZDbTh1IKa,"Ido - Informal, Friendly Narrator",730,
eleven_v3,nld,Dutch,3,AVIlLDn2TVmdaDycgbo3,Eric Sijbesma - Natural and Authentic,30,
eleven_v3,nld,Dutch,4,SXBL9NbvTrjsJQYay2kT,"Melanie - Engaging, Authentic Narrator",30,
eleven_v3,nld,Dutch,5,60CwgZt94Yf7yYIXMDDe,"Peter - Natural, Professional Narrator",730,
eleven_v3,nld,Dutch,6,fzC7H9Y1bPn3gzVLtghe,"Marcèles - Natural, Clear and Articulate",730,
eleven_v3,nld,Dutch,7,ANHrhmaFeVN0QJaa0PhL,"Petra Vlaams - Energetic, Warm and Clear",730,
eleven_v3,nld,Dutch,8,yO6w2xlECAQRFP6pX7Hw,Ruth - Friendly Children's Storyteller,730,
eleven_v3,nld,Dutch,9,s7Z6uboUuE4Nd8Q2nye6,Hans Claesen - Professional Narrator,730,
eleven_v3,nld,Dutch,10,YUdpWWny7k5yb4QCeweX,Ruth - Warm and Dynamic Narrator,730, $0.09
eleven_v3,nor,Norwegian,1,s2xtA7B2CTXPPlJzch1v,Dennis - Clear and Pleasant,365,
eleven_v3,nor,Norwegian,2,9pRpxWU0T7UFt2oEMH6n,Martin - Clear and Comforting,730,
eleven_v3,nor,Norwegian,3,EpYEY8MWJrUGskHBoNMA,Erik - Clear and Natural,730,
eleven_v3,nor,Norwegian,4,2dhHLsmg0MVma2t041qT,Johannes - Motivating and Enthusiastic,730,
eleven_v3,nor,Norwegian,5,xF681s0UeE04gsf0mVsJ,Olaf - Clear and Natural,30,
eleven_v3,nor,Norwegian,6,b3jcIbyC3BSnaRu8avEk,Emma - Shy and Friendly,,
eleven_v3,nor,Norwegian,7,vUmLiNBm6MDcy1NUHaVr,"Helge - Natural, Deep and Calm",730,
eleven_v3,nor,Norwegian,8,BGEU6wFi2uNm6Kje1Yhk,Maja - Calm Audiobook Narrator,730,
eleven_v3,nor,Norwegian,9,4kCDY3HJwvO7Zp3con83,Sebastian - Confident Podcaster,90, $0.02
eleven_v3,nor,Norwegian,10,uNsWM1StCcpydKYOjKyu,Mia Starset- Clear and Friendly,730,
eleven_v3,pol,Polish,1,hIssydxXZ1WuDorjx6Ic,"Adam - Serious, Rich, and Smoky",730,
eleven_v3,pol,Polish,2,H5xTcsAIeS5RAykjz57a,Alex - Warm Storyteller,730,
eleven_v3,pol,Polish,3,o2xdfKUpc1Bwq7RchZuW,"Piotr - Engaging, Reassuring Storyteller",730,
eleven_v3,pol,Polish,4,zzBTsLBFM6AOJtkr1e9b,"Pawel - Optimistic, Silky and Clear",730,
eleven_v3,pol,Polish,5,N0GCuK2B0qwWozQNTS8F,Magdalena - Mighty and Calm Wordsmith,730,
eleven_v3,pol,Polish,6,g8ZOdhoD9R6eYKPTjKbE,Tomasz - Deep and Raspy,730,
eleven_v3,pol,Polish,7,JxVKcxm9wtnCYEs8V00p,"Bruno Siak - Low, Expressive, Serious",730,
eleven_v3,pol,Polish,8,xsSg7GkDPDhaGZpbKOLn,Tomasz Z - Expressive and Deep,730,
eleven_v3,pol,Polish,9,xAVsdcJvD1uegu8lFEE2,"Daniel - Calm, Stoic, and Friendly",730,
eleven_v3,pol,Polish,10,h83JI5fjWWu9AOKOVRYh,"Wojciech - Rich, Intimate Storyteller",730,
eleven_v3,por,Portuguese,1,CstacWqMhJQlnfLPxRG4,"Will - Deep, Smooth and Affectionate",730,
eleven_v3,por,Portuguese,2,MZxV5lN3cv7hi1376O0m,"Ana Dias - Engaging, Smooth and Forceful",730,
eleven_v3,por,Portuguese,3,36rVQA1AOIPwpA3Hg1tC,Matheus - Friendly and Energetic,730,
eleven_v3,por,Portuguese,4,33B4UnXyTNbgLmdEDh5P,"Keren - Sweet, Vibrant and Rhythmic",730,
eleven_v3,por,Portuguese,5,tS45q0QcrDHqHoaWdCDR,"Lax - Funny, Sarcastic and Smooth",730,
eleven_v3,por,Portuguese,6,NGS0ZsC7j4t4dCWbPdgO,Dhyogo Azevedo - Energetic and Confident,730,
eleven_v3,por,Portuguese,7,rpNe0HOx7heUulPiOEaG,Diego - Confident Announcer,730,
eleven_v3,por,Portuguese,8,9pDzHy2OpOgeXM8SeL0t,"Borges - Slow, Calm and Confident",730,
eleven_v3,por,Portuguese,9,r2fkFV8WAqXq2AqBpgJT,"Amandoca - Fun, Breathy and Vibrant",730,
eleven_v3,por,Portuguese,10,WFSxKvz27RguNRD3Phoq,Wesley Bessa - Diplomatic and Cold,730,
eleven_v3,ron,Romanian,1,gbLy9ep70G3JW53cTzFC,"Corina Ioana - Clear, Friendly and Calm",730,
eleven_v3,ron,Romanian,2,3z9q8Y7plHbvhDZehEII,"Antonia - Mellow, Warm and Cute",,
eleven_v3,ron,Romanian,3,am5XuPVtut7uKJQKMja2,"Mike L - Soft, Clear and Charming",730,
eleven_v3,ron,Romanian,4,xb0RCfp97gx711PCjTKw,"Kuki - Calm, Serene Narrator",730,
eleven_v3,ron,Romanian,5,OlBp4oyr3FBAGEAtJOnU,"Jora Slobod - Calm, Deep and Reassuring",730,
eleven_v3,ron,Romanian,6,S98OhkhaxeAKHEbhoLi7,Andrei - Sophisticated and Empathetic,730,
eleven_v3,ron,Romanian,7,urzoE6aZYmSRdFQ6215h,Ana Maria - Optimistic and Friendly,730,
eleven_v3,ron,Romanian,8,8nBBDfYxYXmDNaqTCxPH,Serban Popescu - Professional Narrator,730,
eleven_v3,ron,Romanian,9,Q1khAM9K4Mi6p5TK0ueC,Liviu Mihai - Confident and Excited,730,
eleven_v3,ron,Romanian,10,5asM3ZxsegvXfXI5vqKQ,Bogdan - Melancholic and Smooth,730,
eleven_v3,rus,Russian,1,oKxkBkm5a8Bmrd1Whf2c,"Prince Nur - Smooth, Rich and Engaging",730,
